name,id,price,sizes,category
Lite Racer 4.0 Schuh,IE6132,55.0,"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Handball Spezial Schuh,JI2646,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Samba OG Schuh,JH8798,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers
Grand Court Base 00s Schuh,IH6185,65.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
VL Court 3.0 Schuh,JP7536,70.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Samba OG Schuh,JI3212,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Gazelle Schuh,IG6199,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Samba XLG Schuh,IE1377,130.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Campus 00s Schuh,ID3171,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44']",manner-sneakers
Gazelle Indoor Schuh,JI2713,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44']",manner-sneakers
SL 72 RS Schuh,JI1282,100.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Gazelle Schuh,IG6201,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Breaknet 2.0 Schuh,HP9426,60.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Megaride Schuh,JQ7834,170.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Stan Smith Schuh,M20325,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3', '55 2/3', '56 2/3']",manner-sneakers
Samba OG Schuh,ID1481,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Aspyre Schuh,JI2124,90.0,"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Megaride Schuh,JP9626,170.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Grand Court Base 00s Schuh,IH6184,65.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Advantage Base 2.0 Schuh,IG9184,65.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Campus 00s Schuh,IF8770,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Advantage Base 2.0 Schuh,IG9183,65.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Samba OG Schuh,JI2725,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Run 60s 3.0 Schuh,IE3827,60.0,"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Ultraboost 1.0 Laufschuh,HQ4202,180.0,"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3', '50 2/3']",manner-sneakers
Aspyre Schuh,JI2119,90.0,"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
VS Pace 2.0 Schuh,HP6007,55.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Handball Spezial Schuh,JH5435,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Handball Spezial Schuh,JH5436,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Gazelle Indoor Schuh,IH5484,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Zponge Schuh,JH8110,130.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Advantage Base 2.0 Schuh,IF4135,65.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Campus 00s Schuh,JH5628,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44']",manner-sneakers
Handball Spezial Schuh,BD7632,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
NY 90 Schuh,JI1899,80.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
VL Court 3.0 Schuh,ID9184,70.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Climacool 1 Schuh,JH9990,140.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
VL Court 3.0 Schuh,ID6276,70.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Treziod 2.0 Schuh,IH3801,80.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Breaknet 2.0 Schuh,HP9424,60.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Handball Spezial Schuh,IH5373,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
SL 72 OG Schuh,JH8654,100.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44']",manner-sneakers
VL Court 3.0 Schuh,JI1440,70.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Hoops 3.0 Low Classic Vintage Schuh,GY5427,65.0,"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
adi2000 Schuh,GX4634,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Barreda Decode Schuh,JP9667,85.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Samba XLG Schuh,IE1379,130.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Handball Spezial Schuh,IG6192,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Megaride Schuh,JH5523,170.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Samba OG Schuh,JH8797,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers
Campus 00s Schuh,JP7745,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Grand Court Cloudfoam Comfort Schuh,GW9195,80.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Campus 00s Schuh,JH5627,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44']",manner-sneakers
Country OG Schuh,JQ5111,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44']",manner-sneakers
Run 80s Schuh,ID1260,80.0,"['38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Mullaly Low Schuh,JI0383,80.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '49 1/3']",manner-sneakers
Country Japan Schuh,JH5086,140.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Campus 00s Schuh,JR8163,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
OZWEEGO Schuh,FX6029,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Busenitz Pro Skateschuh,G48060,90.0,"['36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Forum Low CL Schuh,JI3269,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3', '50 2/3', '51 1/3', '52 2/3', '53 1/3', '54 2/3']",manner-sneakers
Campus 00s Schuh,JR8162,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Stan Smith Schuh,S75104,110.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
SL 72 RS Schuh,IH4823,100.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
NY 90 Schuh,JQ0055,80.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
Samba OG Schuh,ID2056,120.0,"['35 1/2', '36', '36 2/3', '37 1/3', '38', '38 2/3', '39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3', '49 1/3']",manner-sneakers
